ProteinA,ProteinB,Label
P26599,n199030,1
Q13148,n199030,1
Q8NDV7,n199030,1
Q9H9G7,n199030,1
Q9HCJ0,n199030,1
Q9HCK5,n199030,1
Q9NZI8,n199030,1
Q9UKV8,n199030,1
Q9UL18,n199030,1
Q9UPQ9,n199030,1
Q13148,n203786,1
Q9HCE1,n203786,1
P26599,n2060,1
Q01844,n2060,1
Q13148,n2060,1
Q01844,n328167,1
Q07955,n328167,1
Q13148,n328167,1
P35637,n328168,1
Q01844,n328168,1
Q13148,n328168,1
Q01844,n328264,1
Q13148,n328264,1
Q9H9G7,n332454,1
Q9HCK5,n332454,1
Q9UKV8,n332454,1
Q9UL18,n332454,1
P26599,n332501,1
Q9Y6M1,n332501,1
Q13148,n332606,1
Q15717,n332606,1
P35637,n332918,1
Q15717,n332918,1
Q07955,n333015,1
Q9Y6M1,n333015,1
P31483,n333422,1
Q15717,n333422,1
Q15717,n333481,1
Q9UKV8,n333481,1
P35637,n333490,1
Q15717,n333490,1
Q8NDV7,n333490,1
Q9HCJ0,n333490,1
Q9NZI8,n333490,1
Q9UPQ9,n333490,1
Q9Y6M1,n333490,1
Q15717,n333527,1
Q9NZI8,n333527,1
Q9UKV8,n333527,1
P35637,n333837,1
P35637,n335106,1
Q15717,n335106,1
P35637,n335521,1
Q15717,n335521,1
Q07955,n335544,1
Q15717,n335544,1
Q9UKV8,n335544,1
Q07955,n335591,1
Q9Y6M1,n335591,1
P31483,n335656,1
Q9HCE1,n335656,1
P26599,n336291,1
Q13148,n336291,1
Q15717,n336291,1
P35637,n336296,1
Q01844,n336296,1
Q13148,n336296,1
Q15717,n336296,1
Q8NDV7,n336296,1
Q96PU8,n336296,1
Q9H9G7,n336296,1
Q9HCJ0,n336296,1
Q9HCK5,n336296,1
Q9UKV8,n336296,1
Q9UL18,n336296,1
Q9UPQ9,n336296,1
Q07955,n336975,1
Q15717,n336975,1
Q13148,n337644,1
P26599,n337667,1
Q13148,n337667,1
Q15717,n337667,1
Q9Y6M1,n337667,1
P26599,n337668,1
Q13148,n337668,1
P26599,n337671,1
Q15717,n337671,1
Q15717,n337687,1
Q9Y6M1,n337687,1
Q15717,n337699,1
P35637,n337711,1
Q15717,n337711,1
Q96PU8,n337711,1
Q9HCE1,n337711,1
Q9NZI8,n337711,1
Q9Y6M1,n337711,1
P35637,n337731,1
Q15717,n337731,1
P26599,n337733,1
Q15717,n337733,1
Q9NZI8,n337733,1
Q9Y6M1,n337733,1
P35637,n337746,1
P35637,n337750,1
P26599,n337758,1
P31483,n337758,1
P35637,n337758,1
Q01844,n337758,1
Q13148,n337758,1
Q15717,n337758,1
P31483,n337759,1
Q15717,n337759,1
P26599,n337768,1
P35637,n337768,1
Q01844,n337768,1
Q15717,n337768,1
Q9H9G7,n337768,1
Q9HCE1,n337768,1
Q9HCK5,n337768,1
Q9NZI8,n337768,1
Q9UKV8,n337768,1
Q9UL18,n337768,1
Q9Y6M1,n337768,1
Q9H9G7,n337809,1
Q9HCK5,n337809,1
Q9UKV8,n337809,1
Q9UL18,n337809,1
P26599,n337815,1
Q15717,n337815,1
Q15717,n337863,1
Q9H9G7,n337863,1
Q9HCE1,n337863,1
Q9HCK5,n337863,1
Q9NZI8,n337863,1
Q9UKV8,n337863,1
Q9UL18,n337863,1
Q9Y6M1,n337863,1
Q13148,n337873,1
P35637,n337886,1
Q15717,n337886,1
P35637,n337902,1
Q01844,n337902,1
Q07955,n337902,1
Q9HCE1,n337902,1
Q9NZI8,n337902,1
Q9Y6M1,n337902,1
Q01844,n337908,1
Q15717,n337908,1
Q9NZI8,n337908,1
Q9Y6M1,n337908,1
Q15717,n337914,1
Q9NZI8,n337914,1
Q9UKV8,n337914,1
Q9Y6M1,n337914,1
Q15717,n337921,1
Q8NDV7,n337921,1
Q9HCJ0,n337921,1
Q9NZI8,n337921,1
Q9UPQ9,n337921,1
Q9Y6M1,n337921,1
Q15717,n337928,1
Q9HCE1,n337928,1
Q9NZI8,n337928,1
Q9Y6M1,n337928,1
P26599,n337930,1
P31483,n337930,1
Q01844,n337930,1
Q15717,n337930,1
Q9NZI8,n337930,1
Q9Y6M1,n337930,1
Q9HCE1,n337950,1
Q9Y6M1,n337950,1
P31483,n337986,1
Q15717,n337986,1
P35637,n337988,1
Q01844,n337988,1
Q15717,n337988,1
Q9NZI8,n337988,1
Q9Y6M1,n337988,1
Q01844,n337997,1
Q07955,n337997,1
Q15717,n338006,1
Q9H9G7,n338006,1
Q9HCK5,n338006,1
Q9UKV8,n338006,1
Q9UL18,n338006,1
P35637,n338024,1
Q15717,n338024,1
Q9NZI8,n338024,1
Q15717,n338027,1
Q9NZI8,n338027,1
Q9Y6M1,n338027,1
P35637,n338028,1
Q01844,n338028,1
Q15717,n338028,1
Q9NZI8,n338028,1
Q9Y6M1,n338028,1
P31483,n338060,1
Q15717,n338060,1
Q9UKV8,n338060,1
Q9Y6M1,n338060,1
Q9NZI8,n338084,1
Q9Y6M1,n338084,1
P35637,n338087,1
Q15717,n338087,1
Q9NZI8,n338087,1
Q9Y6M1,n338087,1
P31483,n338089,1
Q13148,n338089,1
Q15717,n338089,1
Q07955,n338108,1
Q9NZI8,n338108,1
Q13148,n338112,1
Q15717,n338112,1
P31483,n338114,1
Q13148,n338114,1
Q15717,n338114,1
Q8NDV7,n338114,1
Q9H9G7,n338114,1
Q9HCJ0,n338114,1
Q9HCK5,n338114,1
Q9NZI8,n338114,1
Q9UKV8,n338114,1
Q9UL18,n338114,1
Q9UPQ9,n338114,1
Q9Y6M1,n338114,1
Q15717,n338128,1
Q9HCE1,n338128,1
Q9NZI8,n338128,1
Q9Y6M1,n338128,1
Q9H9G7,n338129,1
Q9HCK5,n338129,1
Q9UKV8,n338129,1
Q9UL18,n338129,1
Q15717,n338139,1
Q9Y6M1,n338139,1
P35637,n338146,1
Q15717,n338146,1
Q8NDV7,n338150,1
Q9H9G7,n338150,1
Q9HCJ0,n338150,1
Q9HCK5,n338150,1
Q9UKV8,n338150,1
Q9UL18,n338150,1
Q9UPQ9,n338150,1
Q9NZI8,n338165,1
Q9Y6M1,n338165,1
P26599,n338196,1
Q9UKV8,n338196,1
Q15717,n338197,1
Q9H9G7,n338197,1
Q9HCK5,n338197,1
Q9NZI8,n338197,1
Q9UKV8,n338197,1
Q9UL18,n338197,1
Q9Y6M1,n338197,1
Q15717,n338204,1
Q9NZI8,n338204,1
Q9Y6M1,n338204,1
P26599,n338205,1
Q13148,n338205,1
Q15717,n338205,1
Q8NDV7,n338205,1
Q9H9G7,n338205,1
Q9HCJ0,n338205,1
Q9HCK5,n338205,1
Q9UKV8,n338205,1
Q9UL18,n338205,1
Q9UPQ9,n338205,1
P35637,n338207,1
Q01844,n338207,1
Q15717,n338207,1
Q9NZI8,n338207,1
Q9Y6M1,n338207,1
Q9NZI8,n338217,1
Q9Y6M1,n338217,1
Q9NZI8,n338222,1
P35637,n338223,1
Q01844,n338223,1
Q15717,n338223,1
Q9H9G7,n338223,1
Q9HCK5,n338223,1
Q9NZI8,n338223,1
Q9UKV8,n338223,1
Q9UL18,n338223,1
Q15717,n338231,1
Q9NZI8,n338264,1
Q9Y6M1,n338264,1
Q9NZI8,n338288,1
Q9Y6M1,n338288,1
Q01844,n338297,1
Q15717,n338297,1
Q9Y6M1,n338297,1
P35637,n338298,1
Q15717,n338298,1
Q9NZI8,n338306,1
Q9Y6M1,n338306,1
Q15717,n338325,1
Q9Y6M1,n338325,1
Q9Y6M1,n338380,1
Q01844,n338390,1
Q15717,n338390,1
Q9Y6M1,n338390,1
Q9NZI8,n338398,1
Q9Y6M1,n338398,1
P35637,n338404,1
Q15717,n338404,1
Q9H9G7,n338404,1
Q9HCK5,n338404,1
Q9NZI8,n338404,1
Q9UKV8,n338404,1
Q9UL18,n338404,1
Q9Y6M1,n338404,1
P31483,n338446,1
Q15717,n338446,1
Q9H9G7,n338446,1
Q9HCE1,n338446,1
Q9HCK5,n338446,1
Q9NZI8,n338446,1
Q9UKV8,n338446,1
Q9UL18,n338446,1
Q9Y6M1,n338446,1
P35637,n338471,1
Q15717,n338471,1
P35637,n338479,1
Q01844,n338479,1
Q96PU8,n338479,1
Q15717,n338500,1
Q9UKV8,n338500,1
Q15717,n338512,1
Q9NZI8,n338512,1
Q9UKV8,n338512,1
Q9Y6M1,n338512,1
P35637,n338513,1
Q15717,n338513,1
Q9Y6M1,n338513,1
Q01844,n338522,1
Q9H9G7,n338522,1
Q9HCK5,n338522,1
Q9UKV8,n338522,1
Q9UL18,n338522,1
Q15717,n338526,1
Q8NDV7,n338533,1
Q9HCJ0,n338533,1
Q9UPQ9,n338533,1
Q13148,n338540,1
Q07955,n338547,1
Q9H9G7,n338547,1
Q9HCK5,n338547,1
Q9UKV8,n338547,1
Q9UL18,n338547,1
P26599,n338553,1
Q15717,n338553,1
P35637,n338554,1
Q15717,n338554,1
Q9HCE1,n338554,1
Q9Y6M1,n338554,1
P35637,n338577,1
Q13148,n338577,1
Q15717,n338577,1
Q9H9G7,n338577,1
Q9HCE1,n338577,1
Q9HCK5,n338577,1
Q9NZI8,n338577,1
Q9UKV8,n338577,1
Q9UL18,n338577,1
Q9Y6M1,n338577,1
P35637,n338591,1
Q15717,n338591,1
Q9NZI8,n338591,1
Q9UKV8,n338591,1
Q9Y6M1,n338591,1
Q9Y6M1,n338605,1
P35637,n338615,1
Q01844,n338615,1
Q13148,n338615,1
P31483,n338647,1
P35637,n338647,1
Q15717,n338647,1
Q9NZI8,n338647,1
Q9Y6M1,n338647,1
Q15717,n338651,1
Q01844,n338652,1
Q15717,n338652,1
Q01844,n338702,1
Q15717,n338702,1
Q9NZI8,n338702,1
Q9Y6M1,n338702,1
P31483,n338724,1
P35637,n338724,1
Q15717,n338724,1
P26599,n338750,1
P31483,n338750,1
P35637,n338750,1
Q15717,n338750,1
Q96PU8,n338750,1
P31483,n338758,1
Q15717,n338758,1
Q9Y6M1,n338758,1
Q13148,n338763,1
Q15717,n338763,1
P35637,n338774,1
Q13148,n338774,1
Q15717,n338774,1
Q9NZI8,n338774,1
P31483,n338788,1
Q13148,n338788,1
Q15717,n338788,1
Q9H9G7,n338788,1
Q9HCK5,n338788,1
Q9NZI8,n338788,1
Q9UKV8,n338788,1
Q9UL18,n338788,1
Q9Y6M1,n338788,1
P35637,n338810,1
Q9HCE1,n338810,1
Q9NZI8,n338810,1
P26599,n338832,1
Q15717,n338832,1
P35637,n338833,1
Q15717,n338833,1
P31483,n338835,1
Q96PU8,n338835,1
Q9Y6M1,n338835,1
Q15717,n338836,1
Q15717,n338856,1
Q9NZI8,n338856,1
Q9UKV8,n338856,1
Q9Y6M1,n338856,1
P26599,n338859,1
Q15717,n338859,1
Q9Y6M1,n338875,1
P26599,n338877,1
P35637,n338877,1
Q13148,n338877,1
Q15717,n338877,1
Q8NDV7,n338879,1
Q9HCJ0,n338879,1
Q9UPQ9,n338879,1
Q9NZI8,n338882,1
Q9Y6M1,n338882,1
Q15717,n338897,1
Q9HCE1,n338897,1
Q9NZI8,n338897,1
Q9UKV8,n338897,1
Q9Y6M1,n338897,1
Q9NZI8,n338905,1
Q9Y6M1,n338905,1
P31483,n338931,1
P35637,n338931,1
Q13148,n338931,1
Q15717,n338931,1
Q96PU8,n338931,1
Q9H9G7,n338931,1
Q9HCK5,n338931,1
Q9NZI8,n338931,1
Q9UKV8,n338931,1
Q9UL18,n338931,1
Q9Y6M1,n338931,1
Q07955,n338964,1
Q9Y6M1,n338964,1
Q13148,n338976,1
Q15717,n338976,1
Q07955,n338991,1
Q15717,n338991,1
Q9UKV8,n338991,1
P35637,n339003,1
Q15717,n339003,1
Q8NDV7,n339003,1
Q9H9G7,n339003,1
Q9HCE1,n339003,1
Q9HCJ0,n339003,1
Q9HCK5,n339003,1
Q9NZI8,n339003,1
Q9UKV8,n339003,1
Q9UL18,n339003,1
Q9UPQ9,n339003,1
Q9Y6M1,n339003,1
Q15717,n339038,1
Q9Y6M1,n339038,1
Q15717,n339052,1
Q9NZI8,n339052,1
Q13148,n339073,1
Q15717,n339073,1
Q15717,n339084,1
Q9NZI8,n339084,1
Q9Y6M1,n339087,1
Q15717,n339096,1
Q9NZI8,n339096,1
Q9Y6M1,n339096,1
Q15717,n339118,1
P35637,n339119,1
Q01844,n339119,1
Q15717,n339119,1
Q9Y6M1,n339119,1
Q13148,n339128,1
Q15717,n339128,1
Q13148,n339129,1
Q15717,n339129,1
Q9NZI8,n339129,1
Q9UKV8,n339129,1
Q9Y6M1,n339129,1
P31483,n339156,1
Q15717,n339156,1
Q9H9G7,n339156,1
Q9HCK5,n339156,1
Q9UKV8,n339156,1
Q9UL18,n339156,1
P35637,n339158,1
Q01844,n339158,1
Q15717,n339158,1
P35637,n339188,1
Q15717,n339188,1
Q01844,n339216,1
Q15717,n339216,1
Q9NZI8,n339223,1
Q9Y6M1,n339223,1
Q15717,n339255,1
Q9NZI8,n339255,1
Q9Y6M1,n339255,1
Q15717,n339264,1
Q96PU8,n339264,1
Q15717,n339289,1
Q8NDV7,n339289,1
Q9HCJ0,n339289,1
Q9UPQ9,n339289,1
Q15717,n339341,1
Q9Y6M1,n339341,1
Q15717,n339347,1
Q9NZI8,n339347,1
Q9Y6M1,n339347,1
Q15717,n339370,1
Q9NZI8,n339370,1
Q9Y6M1,n339370,1
P31483,n339419,1
Q13148,n339419,1
Q15717,n339419,1
P26599,n339421,1
Q13148,n339421,1
Q15717,n339421,1
Q8NDV7,n339432,1
Q96PU8,n339432,1
Q9HCJ0,n339432,1
Q9UPQ9,n339432,1
P31483,n339434,1
Q15717,n339434,1
P35637,n339451,1
Q13148,n339451,1
Q15717,n339451,1
P35637,n339486,1
P26599,n339517,1
P35637,n339517,1
Q15717,n339518,1
Q9H9G7,n339518,1
Q9HCE1,n339518,1
Q9HCK5,n339518,1
Q9UKV8,n339518,1
Q9UL18,n339518,1
Q13148,n339526,1
Q9NZI8,n339526,1
Q96PU8,n339541,1
Q9Y6M1,n339541,1
Q9H9G7,n339544,1
Q9HCK5,n339544,1
Q9UKV8,n339544,1
Q9UL18,n339544,1
Q9NZI8,n339552,1
Q9Y6M1,n339552,1
P31483,n339558,1
Q15717,n339558,1
Q9Y6M1,n339558,1
Q15717,n339567,1
P35637,n339597,1
Q15717,n339622,1
Q9H9G7,n339622,1
Q9HCK5,n339622,1
Q9UKV8,n339622,1
Q9UL18,n339622,1
Q15717,n339627,1
Q9Y6M1,n339627,1
P31483,n339642,1
P35637,n339642,1
Q15717,n339642,1
Q9Y6M1,n339642,1
Q13148,n339646,1
Q15717,n339646,1
Q96PU8,n339646,1
Q9H9G7,n339646,1
Q9HCE1,n339646,1
Q9HCK5,n339646,1
Q9NZI8,n339646,1
Q9UKV8,n339646,1
Q9UL18,n339646,1
Q9Y6M1,n339646,1
Q15717,n339651,1
Q9Y6M1,n339651,1
Q01844,n339667,1
P35637,n339671,1
Q9NZI8,n339671,1
P31483,n339673,1
Q15717,n339673,1
Q15717,n339701,1
Q9Y6M1,n339701,1
P35637,n339702,1
Q01844,n339702,1
Q15717,n339702,1
Q9NZI8,n339702,1
Q9Y6M1,n339702,1
Q13148,n339715,1
P31483,n339736,1
Q15717,n339736,1
P35637,n339741,1
Q15717,n339741,1
Q9H9G7,n339828,1
Q9HCK5,n339828,1
Q9UKV8,n339828,1
Q9UL18,n339828,1
Q9Y6M1,n339828,1
P31483,n339833,1
P35637,n339833,1
Q01844,n339833,1
Q13148,n339833,1
Q15717,n339833,1
Q9NZI8,n339833,1
