ProteinA,ProteinB,Label
ZmalncRNA213,B4FCE3,1
ZmalncRNA213,B4FNR5,1
ZmalncRNA213,B4FPJ2,1
ZmalncRNA213,B4FSW0,1
ZmalncRNA213,B6SIF0,1
ZmalncRNA213,B6SP74,1
ZmalncRNA213,B6SXV2,1
ZmalncRNA213,B6T6E9,1
ZmalncRNA213,B6TDJ0,1
ZmalncRNA213,B6U471,1
ZmalncRNA213,B8A0M3,1
ZmalncRNA213,B8A134,1
ZmalncRNA213,B8A305,1
ZmalncRNA213,C0PFQ6,1
ZmalncRNA213,C4IYC2,1
ZmalncRNA213,C4J594,1
ZmalncRNA81,B4F8A7,1
ZmalncRNA81,B4FGK8,1
ZmalncRNA81,B6SXV2,1
ZmalncRNA81,B8A0M3,1
ZmalncRNA81,C0P6Q4,1
ZmalncRNA81,C0PFQ6,1
ZmalncRNA81,C0PIH9,1
ZmalncRNA81,C4J3A0,1
ZmalncRNA450,B4F8A7,1
ZmalncRNA450,B4F8L8,1
ZmalncRNA450,B4FB39,1
ZmalncRNA450,B4FBV8,1
ZmalncRNA450,B4FCE3,1
ZmalncRNA450,B4FGK8,1
ZmalncRNA450,B4FHE9,1
ZmalncRNA450,B4FLX0,1
ZmalncRNA450,B4FNR5,1
ZmalncRNA450,B4FPJ2,1
ZmalncRNA450,B4FSW0,1
ZmalncRNA450,B6SIF0,1
ZmalncRNA450,B6SP74,1
ZmalncRNA450,B6SXV2,1
ZmalncRNA450,B6T6E9,1
ZmalncRNA450,B6TDJ0,1
ZmalncRNA450,B6TP60,1
ZmalncRNA450,B6U471,1
ZmalncRNA450,B7ZXJ1,1
ZmalncRNA450,B8A0M3,1
ZmalncRNA450,B8A134,1
ZmalncRNA450,B8A2G7,1
ZmalncRNA450,B8A305,1
ZmalncRNA450,C0P3W2,1
ZmalncRNA450,C0P8S9,1
ZmalncRNA450,C0PFQ6,1
ZmalncRNA450,C0PLI2,1
ZmalncRNA450,C4IYC2,1
ZmalncRNA450,C4J594,1
ZmalncRNA450,Q41834,1
ZmalncRNA363,B4F8A7,1
ZmalncRNA363,C0P6Q4,1
ZmalncRNA363,Q41834,1
ZmalncRNA480,B4FCE3,1
ZmalncRNA480,B4FNR5,1
ZmalncRNA480,B4FPJ2,1
ZmalncRNA480,B6SP74,1
ZmalncRNA480,B6SXV2,1
ZmalncRNA480,B8A0M3,1
ZmalncRNA480,C0PFQ6,1
ZmalncRNA480,C0PIH9,1
ZmalncRNA480,C4IYC2,1
ZmalncRNA480,C4J594,1
ZmalncRNA541,B4F8A7,1
ZmalncRNA541,B4F8L8,1
ZmalncRNA541,B4FB39,1
ZmalncRNA541,B4FBV8,1
ZmalncRNA541,B4FNR5,1
ZmalncRNA541,B4FPJ2,1
ZmalncRNA541,B4FSW0,1
ZmalncRNA541,B6SIF0,1
ZmalncRNA541,B6SXV2,1
ZmalncRNA541,B6T6E9,1
ZmalncRNA541,B6TDJ0,1
ZmalncRNA541,B6TP60,1
ZmalncRNA541,B6U471,1
ZmalncRNA541,B8A0M3,1
