ProteinA,ProteinB,Label
O60279,NONHSAT000090,0
Q9HCK5,NONHSAT000090,0
P31483,NONHSAT000090,0
P25490,NONHSAT000090,0
Q13127,NONHSAT000090,0
O00425,NONHSAT000090,0
P08047,NONHSAT000090,0
Q07955,NONHSAT000090,0
Q13285,NONHSAT000090,0
P26599,NONHSAT000090,0
O43251,NONHSAT000090,0
Q92994,NONHSAT000090,0
Q96PU8,NONHSAT000090,0
Q8NDV7,NONHSAT000090,0
Q9H9G7,NONHSAT000090,0
Q9NUL5,NONHSAT000090,1
Q9UPQ9,NONHSAT000090,0
Q9UL18,NONHSAT000090,0
Q15022,NONHSAT000090,0
Q9HCE1,NONHSAT000090,0
P35637,NONHSAT000090,1
Q9Y6M1,NONHSAT000090,0
Q9UKV8,NONHSAT000090,0
Q9NZI8,NONHSAT000090,0
P60484,NONHSAT000090,0
Q01844,NONHSAT000090,0
Q13148,NONHSAT000090,0
O60279,NONHSAT000091,0
Q9HCK5,NONHSAT000091,0
P31483,NONHSAT000091,0
P25490,NONHSAT000091,0
Q13127,NONHSAT000091,0
O00425,NONHSAT000091,1
P08047,NONHSAT000091,0
Q07955,NONHSAT000091,0
Q13285,NONHSAT000091,0
P26599,NONHSAT000091,0
O43251,NONHSAT000091,0
Q92994,NONHSAT000091,0
Q96PU8,NONHSAT000091,0
Q8NDV7,NONHSAT000091,0
Q9H9G7,NONHSAT000091,0
Q9NUL5,NONHSAT000091,1
Q9UPQ9,NONHSAT000091,0
Q9UL18,NONHSAT000091,0
Q15022,NONHSAT000091,0
Q9HCE1,NONHSAT000091,0
P35637,NONHSAT000091,1
Q9Y6M1,NONHSAT000091,1
Q9UKV8,NONHSAT000091,0
Q9NZI8,NONHSAT000091,1
P60484,NONHSAT000091,0
Q01844,NONHSAT000091,0
Q13148,NONHSAT000091,0
O60279,NONHSAT000092,0
Q9HCK5,NONHSAT000092,1
P31483,NONHSAT000092,0
P25490,NONHSAT000092,0
Q13127,NONHSAT000092,0
O00425,NONHSAT000092,1
P08047,NONHSAT000092,0
Q07955,NONHSAT000092,0
Q13285,NONHSAT000092,0
P26599,NONHSAT000092,0
O43251,NONHSAT000092,0
Q92994,NONHSAT000092,0
Q96PU8,NONHSAT000092,0
Q8NDV7,NONHSAT000092,0
Q9H9G7,NONHSAT000092,1
Q9NUL5,NONHSAT000092,1
Q9UPQ9,NONHSAT000092,0
Q9UL18,NONHSAT000092,1
Q15022,NONHSAT000092,0
Q9HCE1,NONHSAT000092,1
P35637,NONHSAT000092,0
Q9Y6M1,NONHSAT000092,0
Q9UKV8,NONHSAT000092,1
Q9NZI8,NONHSAT000092,0
P60484,NONHSAT000092,0
Q01844,NONHSAT000092,0
Q13148,NONHSAT000092,0
O60279,NONHSAT000157,0
Q9HCK5,NONHSAT000157,0
P31483,NONHSAT000157,0
P25490,NONHSAT000157,0
Q13127,NONHSAT000157,0
O00425,NONHSAT000157,0
P08047,NONHSAT000157,0
Q07955,NONHSAT000157,0
Q13285,NONHSAT000157,0
P26599,NONHSAT000157,0
O43251,NONHSAT000157,0
Q92994,NONHSAT000157,0
Q96PU8,NONHSAT000157,0
Q8NDV7,NONHSAT000157,0
Q9H9G7,NONHSAT000157,0
Q9NUL5,NONHSAT000157,1
Q9UPQ9,NONHSAT000157,0
Q9UL18,NONHSAT000157,0
Q15022,NONHSAT000157,0
Q9HCE1,NONHSAT000157,0
P35637,NONHSAT000157,1
Q9Y6M1,NONHSAT000157,0
Q9UKV8,NONHSAT000157,0
Q9NZI8,NONHSAT000157,0
P60484,NONHSAT000157,0
Q01844,NONHSAT000157,0
