ProteinA,ProteinB,Label
Q9UKV8,NONHSAT122124,0
P56178,NONHSAT122124,0
Q9NY12,NONHSAT122124,0
P08151,NONHSAT122124,0
Q9H9S0,NONHSAT122124,0
P25208,NONHSAT122124,0
Q13148,NONHSAT122124,0
Q99988,NONHSAT122124,0
P35637,NONHSAT122124,0
O00425,NONHSAT122124,1
Q07955,NONHSAT122124,1
P25490,NONHSAT122124,0
Q7Z3B3,NONHSAT122124,0
P49711,NONHSAT122124,0
P37108,NONHSAT122124,0
Q00839,NONHSAT122124,0
P31260,NONHSAT122124,0
Q9NZI8,NONHSAT122124,1
P49913,NONHSAT122124,0
Q15465,NONHSAT122124,0
Q5S007,NONHSAT122124,0
Q12968,NONHSAT122124,0
P01236,NONHSAT122124,0
O75817,NONHSAT122124,0
P49458,NONHSAT122124,0
Q7L2J0,NONHSAT122124,0
O14746,NONHSAT122124,0
Q13127,NONHSAT122124,0
Q9UHB9,NONHSAT122124,0
Q15022,NONHSAT122124,0
Q9BUL9,NONHSAT122124,0
P48431,NONHSAT122124,0
P62136,NONHSAT122124,0
O94992,NONHSAT122124,0
P08047,NONHSAT122124,0
O76094,NONHSAT122124,0
P31269,NONHSAT122124,0
Q01094,NONHSAT122124,0
P23511,NONHSAT122124,0
P35268,NONHSAT122124,0
P17735,NONHSAT122124,0
P26599,NONHSAT122124,1
P61964,NONHSAT122124,1
O43184,NONHSAT122124,0
O60832,NONHSAT122124,0
O95793,NONHSAT122124,0
P60484,NONHSAT122124,0
Q9H9G7,NONHSAT122124,0
Q9UL18,NONHSAT122124,0
Q9HCK5,NONHSAT122124,0
P50750,NONHSAT122124,0
Q7RTS3,NONHSAT122124,0
Q9Y6M1,NONHSAT122124,1
Q8NDV7,NONHSAT122124,0
Q15717,NONHSAT122124,0
P78509,NONHSAT122124,0
P31483,NONHSAT122124,0
O43251,NONHSAT122124,0
Q9UKC9,NONHSAT122124,0
Q9UKV8,NONHSAT036719,1
P56178,NONHSAT036719,0
Q9NY12,NONHSAT036719,0
P08151,NONHSAT036719,0
Q9H9S0,NONHSAT036719,0
P25208,NONHSAT036719,0
Q13148,NONHSAT036719,0
Q99988,NONHSAT036719,0
P35637,NONHSAT036719,1
O00425,NONHSAT036719,1
Q07955,NONHSAT036719,1
P25490,NONHSAT036719,0
