ProteinA,ProteinB,Label
Q9NUL5,NONHSAT000090,1
P35637,NONHSAT000090,1
O00425,NONHSAT000091,1
Q9NUL5,NONHSAT000091,1
P35637,NONHSAT000091,1
Q9Y6M1,NONHSAT000091,1
Q9NZI8,NONHSAT000091,1
Q9HCK5,NONHSAT000092,1
O00425,NONHSAT000092,1
Q9H9G7,NONHSAT000092,1
Q9NUL5,NONHSAT000092,1
Q9UL18,NONHSAT000092,1
Q9HCE1,NONHSAT000092,1
Q9UKV8,NONHSAT000092,1
Q9NUL5,NONHSAT000157,1
P35637,NONHSAT000157,1
P26599,NONHSAT000204,1
P35637,NONHSAT000204,1
Q13148,NONHSAT000204,1
Q9HCK5,NONHSAT000372,1
O00425,NONHSAT000372,1
Q9H9G7,NONHSAT000372,1
Q9NUL5,NONHSAT000372,1
Q9UL18,NONHSAT000372,1
Q9HCE1,NONHSAT000372,1
Q9Y6M1,NONHSAT000372,1
Q9UKV8,NONHSAT000372,1
Q9NZI8,NONHSAT000372,1
Q07955,NONHSAT000416,1
Q9NUL5,NONHSAT000416,1
Q07955,NONHSAT000786,1
Q9NUL5,NONHSAT000786,1
Q9HCE1,NONHSAT000786,1
Q8NDV7,NONHSAT000825,1
Q9UPQ9,NONHSAT000825,1
Q96PU8,NONHSAT001050,1
Q9NUL5,NONHSAT001050,1
Q9HCK5,NONHSAT001062,1
P31483,NONHSAT001062,1
Q9H9G7,NONHSAT001062,1
Q9UL18,NONHSAT001062,1
Q9UKV8,NONHSAT001062,1
O00425,NONHSAT001063,1
Q9Y6M1,NONHSAT001063,1
O00425,NONHSAT001159,1
Q9NUL5,NONHSAT001159,1
Q9Y6M1,NONHSAT001159,1
Q9NZI8,NONHSAT001159,1
Q13148,NONHSAT001159,1
O00425,NONHSAT001461,1
Q9NUL5,NONHSAT001461,1
Q9Y6M1,NONHSAT001461,1
Q9NZI8,NONHSAT001461,1
Q9HCK5,NONHSAT001463,1
P31483,NONHSAT001463,1
O00425,NONHSAT001463,1
Q8NDV7,NONHSAT001463,1
Q9H9G7,NONHSAT001463,1
Q9NUL5,NONHSAT001463,1
Q9UPQ9,NONHSAT001463,1
Q9UL18,NONHSAT001463,1
Q9Y6M1,NONHSAT001463,1
Q9UKV8,NONHSAT001463,1
Q9NZI8,NONHSAT001463,1
Q13148,NONHSAT001463,1
Q07955,NONHSAT001510,1
Q9NUL5,NONHSAT001510,1
P31483,NONHSAT001511,1
Q9NUL5,NONHSAT001511,1
Q13148,NONHSAT001511,1
O60279,NONHSAT001523,1
Q07955,NONHSAT001523,1
Q9NUL5,NONHSAT001523,1
P35637,NONHSAT001523,1
Q9NUL5,NONHSAT001652,1
Q9UKV8,NONHSAT001652,1
O00425,NONHSAT001945,1
Q9NUL5,NONHSAT001945,1
P35637,NONHSAT001945,1
Q01844,NONHSAT001945,1
Q9Y6M1,NONHSAT001953,1
Q9NZI8,NONHSAT001953,1
Q9NUL5,NONHSAT001968,1
Q9Y6M1,NONHSAT001968,1
P26599,NONHSAT001969,1
Q13148,NONHSAT001969,1
P31483,NONHSAT001993,1
Q13148,NONHSAT001993,1
O00425,NONHSAT002153,1
Q96PU8,NONHSAT002153,1
P35637,NONHSAT002153,1
Q01844,NONHSAT002153,1
P26599,NONHSAT002344,1
Q9NUL5,NONHSAT002344,1
P26599,NONHSAT002390,1
Q9NUL5,NONHSAT002390,1
O60279,NONHSAT002564,1
Q9HCK5,NONHSAT002564,1
P31483,NONHSAT002564,1
O00425,NONHSAT002564,1
Q07955,NONHSAT002564,1
P26599,NONHSAT002564,1
Q9H9G7,NONHSAT002564,1
Q9NUL5,NONHSAT002564,1
Q9UL18,NONHSAT002564,1
P35637,NONHSAT002564,1
Q9UKV8,NONHSAT002564,1
Q9NZI8,NONHSAT002564,1
Q01844,NONHSAT002564,1
Q13148,NONHSAT002564,1
O00425,NONHSAT002627,1
Q9NUL5,NONHSAT002627,1
P26599,NONHSAT002658,1
Q13148,NONHSAT002658,1
P31483,NONHSAT002955,1
